source,class
/media/Raven/Variability/Allison/Round 1/Sneox2/Orange/Bullet 1/Variability - Round 1 - Barrel Orange - Bullet 1 - Land 5 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,breakoff_issues
/media/Raven/Variability/Allison/Round 1/Sneox2/Orange/Bullet 1/Variability - Round 1 - Barrel Orange - Bullet 1 - Land 6 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,breakoff_issues
/media/Raven/Variability/Mya/Round 1/Sneox2/Orange/Bullet 1/Variability - Round 1 - Barrel Orange - Bullet 1 - Land 2 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,breakoff_issues
/media/Raven/Variability/Mya/Round 1/Sneox2/Orange/Bullet 1/Variability - Round 1 - Barrel Orange - Bullet 1 - Land 5 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,breakoff_issues
/media/Raven/Variability/Mya/Round 1/Sneox1/Orange/Bullet 2/Variability - Round 1 - Barrel Orange - Bullet 2 - Land 4 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,breakoff_issues
/media/Sunny/CSAFE/User comparison scans/Round 3/Allison/Bullet 2/HS44 - Barrel 6 - Bullet 2 - Land 1 - Sneox1 - 20x - autolight left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,gea_scans
/media/Sunny/CSAFE/User comparison scans/Round 3/Allison/Bullet 2/HS44 - Barrel 6 - Bullet 2 - Land 2 - Sneox1 - 20x - autolight left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,gea_scans
/media/Sunny/CSAFE/User comparison scans/Round 5/Carley McConnell/Bullet 1/HS44 - Barrel 6 - Bullet 1 - Land 3 - Sneox1 - 20x - autolight left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,misaligned_on_scope
/media/Sunny/CSAFE/User comparison scans/Round 1/Jozef/Barrel 6/Bullet 1/HS44 - Barrel 6 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Jozef Lamfers.x3p,misaligned_on_scope
/media/Raven/Variability/Connor/Round 1/Sneox2/Green/Bullet 3/Variability - Round 1 - Barrel Green - Bullet 3 - Land 3 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,misaligned_on_scope
/media/Raven/Variability/Connor/Round 1/Sneox2/Pink/Bullet 1/Variability - Round 1 - Barrel Pink - Bullet 1 - Land 3 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Connor Hergenreter.x3p,misaligned_on_scope
/media/Raven/Variability/Connor/Round 1/Sneox2/Pink/Bullet 2/Variability - Round 1 - Barrel Pink - Bullet 2 - Land 6 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,misaligned_on_scope
/media/Raven/Variability/Mya/Round 1/Sneox1/Orange/Bullet 1/Variability - Round 1 - Barrel Orange - Bullet 1 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,misaligned_on_scope
/media/Raven/Variability/Mya/Round 1/Sneox1/Orange/Bullet 2/Variability - Round 1 - Barrel Orange - Bullet 2 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,misaligned_on_scope
/media/Raven/Variability/Mya/Round 1/Sneox1/Orange/Bullet 3/Variability - Round 1 - Barrel Orange - Bullet 3 - Land 3 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,misaligned_on_scope
/media/Raven/Variability/Mya/Round 1/Sneox1/Pink/Bullet 1/Variability - Round 1 - Barrel Pink - Bullet 1 - Land 3 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,misaligned_on_scope
/media/Raven/Variability/Mya/Round 1/Sneox2/Pink/Bullet 1/Variability - Round 1 - Barrel Pink - Bullet 1 - Land 3 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,misaligned_on_scope
/media/Raven/Variability/Mya/Round 1/Sneox1/Pink/Bullet 2/Variability - Round 1 - Barrel Pink - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,misaligned_on_scope
/media/Raven/Variability/Carley/Round 1/Sneox2/Green/Bullet 1/Variability - Round 1 - Barrel Green - Bullet 1 - Land 3 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,tankrash_or_pitting
/media/Raven/Variability/Connor/Round 1/Sneox1/Orange/Bullet 3/Variability - Round 1 - Barrel Orange - Bullet 3 - Land 5 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,tankrash_or_pitting
/media/Raven/Variability/Allison/Round 1/Sneox1/Pink/Bullet 1/Variability - Round 1 - Barrel Pink - Bullet 1 - Land 6 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Allison Mark.x3p,tankrash_or_pitting
